below_rpl,RMSE,MAPE,MAD,MAE
All,0.288835513250681,7.35436076492945,0.125530752518982,0.195906180432891
All,0.314301661537553,10.0277751058047,0.196062357557411,0.24119947419422
Atleast2.1,0.367981613073437,7.7560506225471,0.200152646184168,0.272573884888895
Below2.1,0.158826635582761,6.90464277216186,0.0772389218975392,0.110071685226713
Atleast2.1,0.380874153725994,9.05559429000921,0.260191503140048,0.298200326867037
Below2.1,0.218691540132421,11.0982663411751,0.155660706005342,0.178434490352241
